,tweet,username,urls,discount,price
0,lazada 11.11.2019 diskon terbesar 24 jam https://t.co/8qjlwzwez8,Vallno_07,['https://t.co/8qjlwzwez8'],[],[]
1,@garudacares bagaimana cara tukar mileage diskon 70% (garudamiles year_end festival)?,Nug_QA,[],['70%'],[]
2,"sejarah asia tenggara karya m.c. ricklefs rp 350.000 diskon rp 210.000  order: https://t.co/vietimemom  atau   wa 0813-8543-0505 komunitas bambu jl. taufiqurrahman no.3 beji timur, depok  buka senin-jumat pukul 08.00-17.00 wib  #komunitasbambu #sejarahasiatenggara https://t.co/xxdt22uodi",KomunitasBambu,"['https://t.co/vietimemom', 'https://t.co/xxdt22uodi']",[],"['350.000', '210.000']"
3,tah diskon 50% cenah..  yuk diserbu..   https://t.co/4vsqpgan7h,AmaAbiyyunShoh,['https://t.co/4vsqpgan7h'],['50%'],[]
4,yaampun kak aulll. eh tapi itu make over lagi diskon kak? https://t.co/o8kgl937hf,tyoungjaems,['https://t.co/o8kgl937hf'],[],[]
5,pesta harga akhir tahun di giias medan auto show 2018! banyak promo dan diskon khusus yang hanya berlaku selama pameran giias medan berlangsung. slide langsung yuk https://t.co/pkivniwwcf,IcanIndopro,['https://t.co/pkivniwwcf'],[],[]
6,hanya hari ini! shopee promo 11.11 big sale! 11.11 mom &amp; kids day  produk ibu &amp; anak diskon hingga 90% off! https://t.co/2lm7abrakt https://t.co/9cre7criko,katalogpromosi,"['https://t.co/2lm7abrakt', 'https://t.co/9cre7criko']",['90%'],[]
7,"cgv cinemas kini hadir di icon mall #gresik . dapatkan diskon 20% untuk pembelian min. 2 tiket nonton melalui aplikasi/web goers, dengan menggunakan kode voucher https://t.co/yjjlib7xov",GoersApp,['https://t.co/yjjlib7xov'],['20%'],[]
8,"beli tiket kereta api di @tokopedia diskon 20% pakai epay bri, min. trx. rp100rb. info lengkap https://t.co/1cvgqewbkc https://t.co/ho4z2ub2uk",promo_BRI,"['https://t.co/1cvgqewbkc', 'https://t.co/ho4z2ub2uk']",['20%'],['100.000']
9,buat kalian yang bisa jajan di alfamart - yuk di cek dulu katalog belanja alfamart periode 01-15 november 2018 | mana tau ada diskon buat produk yang lagi kalian pengen beli | lihat yuk selengkapnya disini https://t.co/tqa8sl8mqk https://t.co/op5s58d4pu,katalogpromosi,"['https://t.co/tqa8sl8mqk', 'https://t.co/op5s58d4pu']",[],[]
10,"starbucks promo diskon 50% untuk pembelian minuman holiday special*, menggunakan starbucks tumbler / mug dan kartu kredit bca | lihat dulu yuk syarat dan ketentuan lengkapnya disini https://t.co/p3dax4wl1c",katalogpromosi,['https://t.co/p3dax4wl1c'],['50%'],[]
11,sempurnakan alat dapurmu yuk! peralatan dapur yang kamu butuhkan diskon hingga 84%!!  belanja sekarang yuk &gt;&gt; https://t.co/ynd6yiflzy https://t.co/opb1ozhgr4,alfacartID,"['https://t.co/ynd6yiflzy', 'https://t.co/opb1ozhgr4']",['84%'],[]
