,0,1
0,Ya anjir cpt bgt ya abis barang manusia diskon:(,SOHEEDCH
1,Lazada 11.11.2019 diskon terbesar 24 jam https://t.co/8QjlwZWEz8,Vallno_07
2,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  ITU TANDANYA ANDA MASIH MISKIN",bayu_joo
3,"Apa bedanya matahari sama bulan?  Matahari ada diskon, bulan gak ada  Yhaaa *krikkrik*",Hanifati_f
4,@GarudaCares bagaimana cara tukar mileage diskon 70% (garudamiles year_end festival)?,Nug_QA
5,@Gencamon Nahiya benerrr hahahaha kalo makan cantik kena diskon gapapa deh rela makan makin lama yang pentinf diskon ,primetam
6,FAK GMARKET KENAPA DISKON NYA SEKARANG SIH,singularyv
7,"Sejarah Asia Tenggara Karya M.C. Ricklefs Rp 350.000 diskon Rp 210.000  Order: https://t.co/VIEtImeMoM  atau   WA 0813-8543-0505 Komunitas Bambu Jl. Taufiqurrahman No.3 Beji Timur, Depok  Buka Senin-Jumat pukul 08.00-17.00 WIB  #komunitasbambu #sejarahasiatenggara https://t.co/xXDT22UODI",KomunitasBambu
8,"@amingcoffee transmart kuburaya diskon, kapan lagi Rp.5.000 ngopi di mall . #kalbarinfo #kalbar #pontianak @ Transmart Carrefour Kubu Raya https://t.co/b8z6ySRnUn",kalbarinfo_
9,Tah diskon 50% cenah..  Yuk diserbu..   https://t.co/4vsqPgAn7H,AmaAbiyyunShoh
10,@wongAlas901 @prabowo @aniesbaswedan rika wis inden mobil esemka nek arp tuku gagian mumpung diskon....,Dianhandoko6
11,"Sebenarnya bahagia itu sederhana... - beli ini kebeli - beli itu kebeli - liat onlen shop diskon flashsale langsung beli - kalo ada abang-abang telor gulung minimal beli 25rebu. - buka instagram, liat mukbeng, pesen gofood, beli. - ga miskin.  hidup sesederhana itu ya gengz.",anggieppu
12,Yuhuu..  Siapa lagi yang mau order deodorantnya...   Deodorannya murah tapi ga murahan loh..  Favorit keluarga aku nihh deodorantnya Lagi diskon ,indri_indriyuni
13,@febjae Iya teh ambil aja yang kuning mah. Diskon 50%,favechan
14,Pesta Harga Akhir Tahun di GIIAS Medan Auto Show 2018! Banyak promo dan diskon khusus yang hanya berlaku selama pameran GIIAS Medan berlangsung. Slide langsung yuk https://t.co/zgxDeOwRsu,IcanIndopro
15,Yaampun kak aulll. Eh tapi itu make over lagi diskon kak? https://t.co/o8KgL937hF,tyoungjaems
16,@rahagyu29 @bayu_joo Jadi misal harganya 100rb diskon 70% + 30% Cara penghitungannya 100rb - 70% = 30rb Lalu 30rb - 30% = 21rb. Jadi masi ada yg harus dibayar ga gratis juga ,gardagagar
17,Pesta Harga Akhir Tahun di GIIAS Medan Auto Show 2018! Banyak promo dan diskon khusus yang hanya berlaku selama pameran GIIAS Medan berlangsung. Slide langsung yuk https://t.co/pKiVNIwwcF,IcanIndopro
18,"Rizka tunggu d htel y say, opn include PROMO ptongn diskon 150k &amp; 300k hnya berlaku rabu-jumt. #wisatalendirjogja #AvailJogja #AngelJogja #bisyarjogja #JogjaBO #jogjanakal #jogjalendir #jogjabispak #jogjacrot #bojogja #WPjogja #readyjogja #jogjaincluderoom #wisatalendirjogja https://t.co/Cigbjux9bU",Rizkaulia3
19,"@tys1004 mau beli season greetings tia, per hari ini ada diskon gede. lumayanlah, kutergiurrrr",ChocoBee_
20,"CGV Cinemas kini hadir di Icon Mall #Gresik . Dapatkan diskon 20% untuk pembelian min. 2 tiket nonton melalui aplikasi/web GOERS, dengan menggunakan kode voucher https://t.co/yjjLIb7XoV",GoersApp
21,@princekuanIin fansite kyknya soalnya itu pun po di diskon:( kalo ntar pas ready harganya 265k belom ems dan tax anjer,aracelli_0129
22,"Beli tiket kereta api di @tokopedia diskon 20% pakai ePay BRI, min. trx. Rp100rb. Info lengkap https://t.co/1CvgQEWBkC https://t.co/hO4Z2UB2Uk",promo_BRI
23,Buat kalian yang bisa jajan di ALFAMART - Yuk di cek dulu Katalog Belanja ALFAMART Periode 01-15 November 2018 | Mana tau ada diskon buat produk yang lagi kalian pengen beli | Lihat yuk selengkapnya disini https://t.co/tqA8sL8MQk https://t.co/oP5S58D4pu,katalogpromosi
