,0,1
0,ya anjir cpt bgt ya abis barang manusia diskon:(,SOHEEDCH
1,lazada 11.11.2019 diskon terbesar 24 jam https://t.co/8qjlwzwez8,Vallno_07
2,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  itu tandanya anda masih miskin",bayu_joo
3,"apa bedanya matahari sama bulan?  matahari ada diskon, bulan gak ada  yhaaa *krikkrik*",Hanifati_f
4,@garudacares bagaimana cara tukar mileage diskon 70% (garudamiles year_end festival)?,Nug_QA
5,@gencamon nahiya benerrr hahahaha kalo makan cantik kena diskon gapapa deh rela makan makin lama yang pentinf diskon ,primetam
6,fak gmarket kenapa diskon nya sekarang sih,singularyv
7,"sejarah asia tenggara karya m.c. ricklefs rp 350.000 diskon rp 210.000  order: https://t.co/vietimemom  atau   wa 0813-8543-0505 komunitas bambu jl. taufiqurrahman no.3 beji timur, depok  buka senin-jumat pukul 08.00-17.00 wib  #komunitasbambu #sejarahasiatenggara https://t.co/xxdt22uodi",KomunitasBambu
8,"@amingcoffee transmart kuburaya diskon, kapan lagi rp.5.000 ngopi di mall . #kalbarinfo #kalbar #pontianak @ transmart carrefour kubu raya https://t.co/b8z6ysrnun",kalbarinfo_
9,tah diskon 50% cenah..  yuk diserbu..   https://t.co/4vsqpgan7h,AmaAbiyyunShoh
10,@wongalas901 @prabowo @aniesbaswedan rika wis inden mobil esemka nek arp tuku gagian mumpung diskon....,Dianhandoko6
11,"sebenarnya bahagia itu sederhana... - beli ini kebeli - beli itu kebeli - liat onlen shop diskon flashsale langsung beli - kalo ada abang-abang telor gulung minimal beli 25rebu. - buka instagram, liat mukbeng, pesen gofood, beli. - ga miskin.  hidup sesederhana itu ya gengz.",anggieppu
12,yuhuu..  siapa lagi yang mau order deodorantnya...   deodorannya murah tapi ga murahan loh..  favorit keluarga aku nihh deodorantnya lagi diskon ,indri_indriyuni
13,@febjae iya teh ambil aja yang kuning mah. diskon 50%,favechan
14,pesta harga akhir tahun di giias medan auto show 2018! banyak promo dan diskon khusus yang hanya berlaku selama pameran giias medan berlangsung. slide langsung yuk https://t.co/zgxdeowrsu,IcanIndopro
15,yaampun kak aulll. eh tapi itu make over lagi diskon kak? https://t.co/o8kgl937hf,tyoungjaems
16,@rahagyu29 @bayu_joo jadi misal harganya 100rb diskon 70% + 30% cara penghitungannya 100rb - 70% = 30rb lalu 30rb - 30% = 21rb. jadi masi ada yg harus dibayar ga gratis juga ,gardagagar
17,pesta harga akhir tahun di giias medan auto show 2018! banyak promo dan diskon khusus yang hanya berlaku selama pameran giias medan berlangsung. slide langsung yuk https://t.co/pkivniwwcf,IcanIndopro
18,hanya hari ini! shopee promo 11.11 big sale! 11.11 mom &amp; kids day  produk ibu &amp; anak diskon hingga 90% off! https://t.co/2lm7abrakt https://t.co/9cre7criko,katalogpromosi
19,"@tys1004 mau beli season greetings tia, per hari ini ada diskon gede. lumayanlah, kutergiurrrr",ChocoBee_
20,"cgv cinemas kini hadir di icon mall #gresik . dapatkan diskon 20% untuk pembelian min. 2 tiket nonton melalui aplikasi/web goers, dengan menggunakan kode voucher https://t.co/yjjlib7xov",GoersApp
21,@princekuaniin fansite kyknya soalnya itu pun po di diskon:( kalo ntar pas ready harganya 265k belom ems dan tax anjer,aracelli_0129
22,"beli tiket kereta api di @tokopedia diskon 20% pakai epay bri, min. trx. rp100rb. info lengkap https://t.co/1cvgqewbkc https://t.co/ho4z2ub2uk",promo_BRI
23,buat kalian yang bisa jajan di alfamart - yuk di cek dulu katalog belanja alfamart periode 01-15 november 2018 | mana tau ada diskon buat produk yang lagi kalian pengen beli | lihat yuk selengkapnya disini https://t.co/tqa8sl8mqk https://t.co/op5s58d4pu,katalogpromosi
24,"starbucks promo diskon 50% untuk pembelian minuman holiday special*, menggunakan starbucks tumbler / mug dan kartu kredit bca | lihat dulu yuk syarat dan ketentuan lengkapnya disini https://t.co/p3dax4wl1c",katalogpromosi
25,sempurnakan alat dapurmu yuk! peralatan dapur yang kamu butuhkan diskon hingga 84%!!  belanja sekarang yuk &gt;&gt; https://t.co/ynd6yiflzy https://t.co/opb1ozhgr4,alfacartID
26,@gramedia handmaid's tale belum ketemu miinn dan diskon buku juga paling dicari sih :'),Ljwoori
27,@yrachmania temen gue nitip temennya pas di hongkong lagi diskon 30rebu doang tjoy ,urpoisonivy
