,0,1,2
0,ya anjir cpt bgt ya abis barang manusia diskon:(,SOHEEDCH,0
1,lazada 11.11.2019 diskon terbesar 24 jam https://t.co/8qjlwzwez8,Vallno_07,1
2,"selama kalo liat promo diskon 70% + 30% dalem hati langsung bilang ""ini jadi gratis dong?""  itu tandanya anda masih miskin",bayu_joo,0
3,"apa bedanya matahari sama bulan?  matahari ada diskon, bulan gak ada  yhaaa *krikkrik*",Hanifati_f,0
4,@garudacares bagaimana cara tukar mileage diskon 70% (garudamiles year_end festival)?,Nug_QA,1
5,@gencamon nahiya benerrr hahahaha kalo makan cantik kena diskon gapapa deh rela makan makin lama yang pentinf diskon ,primetam,0
6,fak gmarket kenapa diskon nya sekarang sih,singularyv,0
7,"sejarah asia tenggara karya m.c. ricklefs rp 350.000 diskon rp 210.000  order: https://t.co/vietimemom  atau   wa 0813-8543-0505 komunitas bambu jl. taufiqurrahman no.3 beji timur, depok  buka senin-jumat pukul 08.00-17.00 wib  #komunitasbambu #sejarahasiatenggara https://t.co/xxdt22uodi",KomunitasBambu,1
8,"@amingcoffee transmart kuburaya diskon, kapan lagi rp.5.000 ngopi di mall . #kalbarinfo #kalbar #pontianak @ transmart carrefour kubu raya https://t.co/b8z6ysrnun",kalbarinfo_,0
9,tah diskon 50% cenah..  yuk diserbu..   https://t.co/4vsqpgan7h,AmaAbiyyunShoh,1
10,@wongalas901 @prabowo @aniesbaswedan rika wis inden mobil esemka nek arp tuku gagian mumpung diskon....,Dianhandoko6,0
11,"sebenarnya bahagia itu sederhana... - beli ini kebeli - beli itu kebeli - liat onlen shop diskon flashsale langsung beli - kalo ada abang-abang telor gulung minimal beli 25rebu. - buka instagram, liat mukbeng, pesen gofood, beli. - ga miskin.  hidup sesederhana itu ya gengz.",anggieppu,0
12,yuhuu..  siapa lagi yang mau order deodorantnya...   deodorannya murah tapi ga murahan loh..  favorit keluarga aku nihh deodorantnya lagi diskon ,indri_indriyuni,0
13,@febjae iya teh ambil aja yang kuning mah. diskon 50%,favechan,0
14,pesta harga akhir tahun di giias medan auto show 2018! banyak promo dan diskon khusus yang hanya berlaku selama pameran giias medan berlangsung. slide langsung yuk https://t.co/zgxdeowrsu,IcanIndopro,0
15,yaampun kak aulll. eh tapi itu make over lagi diskon kak? https://t.co/o8kgl937hf,tyoungjaems,1
16,@rahagyu29 @bayu_joo jadi misal harganya 100rb diskon 70% + 30% cara penghitungannya 100rb - 70% = 30rb lalu 30rb - 30% = 21rb. jadi masi ada yg harus dibayar ga gratis juga ,gardagagar,0
17,pesta harga akhir tahun di giias medan auto show 2018! banyak promo dan diskon khusus yang hanya berlaku selama pameran giias medan berlangsung. slide langsung yuk https://t.co/pkivniwwcf,IcanIndopro,1
18,hanya hari ini! shopee promo 11.11 big sale! 11.11 mom &amp; kids day  produk ibu &amp; anak diskon hingga 90% off! https://t.co/2lm7abrakt https://t.co/9cre7criko,katalogpromosi,1
19,"@tys1004 mau beli season greetings tia, per hari ini ada diskon gede. lumayanlah, kutergiurrrr",ChocoBee_,0
20,"cgv cinemas kini hadir di icon mall #gresik . dapatkan diskon 20% untuk pembelian min. 2 tiket nonton melalui aplikasi/web goers, dengan menggunakan kode voucher https://t.co/yjjlib7xov",GoersApp,1
21,@princekuaniin fansite kyknya soalnya itu pun po di diskon:( kalo ntar pas ready harganya 265k belom ems dan tax anjer,aracelli_0129,0
22,"beli tiket kereta api di @tokopedia diskon 20% pakai epay bri, min. trx. rp100rb. info lengkap https://t.co/1cvgqewbkc https://t.co/ho4z2ub2uk",promo_BRI,1
23,buat kalian yang bisa jajan di alfamart - yuk di cek dulu katalog belanja alfamart periode 01-15 november 2018 | mana tau ada diskon buat produk yang lagi kalian pengen beli | lihat yuk selengkapnya disini https://t.co/tqa8sl8mqk https://t.co/op5s58d4pu,katalogpromosi,1
24,"starbucks promo diskon 50% untuk pembelian minuman holiday special*, menggunakan starbucks tumbler / mug dan kartu kredit bca | lihat dulu yuk syarat dan ketentuan lengkapnya disini https://t.co/p3dax4wl1c",katalogpromosi,1
25,sempurnakan alat dapurmu yuk! peralatan dapur yang kamu butuhkan diskon hingga 84%!!  belanja sekarang yuk &gt;&gt; https://t.co/ynd6yiflzy https://t.co/opb1ozhgr4,alfacartID,1
26,@gramedia handmaid's tale belum ketemu miinn dan diskon buku juga paling dicari sih :'),Ljwoori,0
27,@yrachmania temen gue nitip temennya pas di hongkong lagi diskon 30rebu doang tjoy ,urpoisonivy,1
28,{np} 6 tiket diskon 50% masuk gelanggang samudra 30k aja berlaku sampe 15 nov 2018 https://t.co/9ow2utd9yw,New_preloved,0
29,"kalok minta diskon, telponnyaaaa berkali kaliii...  giliran diminta pelunasan, slow respond, not feeling well!!  yhaaa bhaiqueee!!   *saya jugak kalok ngeluarin duit jugakkk not feeling well paaakk!!*",Kmunadiayuna,0
30,"prime gears beri diskon menarik helm arai, taichi dan komine di imos 2018 - https://t.co/uvtwkflgnb https://t.co/n6evoizn6w",motovaganza,1
31,kunjungi showroom kami dan bergabunglah menjadi member untuk mendapatkan banyak manfaat dan diskon seumur hidup,iwakkoi_center,0
32,yaallah aku sudah teracuni diskon shopee lagi,gramedira,0
33,"@fiiildzah @gojekindonesia nggak tau nih kak, tiba2 dapat 10 voucher diskon gocar",ademutiaraa,1
34,@gramedia komik harga diskon gila an plis..,RomeoInsulind,0
35,"sesuai janji kami beberapa bulan lalu, kini program diskon big thank you sale 25% berlaku seluruh indonesia di sepanjang bulan november ini! spesial untuk buku sastra! #bukugpu  https://t.co/f9lnzlkyia",bukugpu,1
36,"longdress polos renda ukuran: tercantum di gambar, no accessories bahan: tercantum di gambar   harga ecer: 120rb/pcs  beli banyak dapat diskon  reseller welcome  contact &amp; order: check bio https://t.co/rae6xsay2m",ria_indra,1
37,"berbagai marchendise tipe-x ada di sini, #invit 7a2c0ee6, beli #murah #diskon",X_SKAsuka,0
38,"gmarket lagi ada diskon mega sale nih,  wanna one album set jadi 25.500 won (aslinya 34.000 won) trus yg kihno ver jadi 15.800 won (aslinya 20.000 won)   should i buy all of them? ",jinhwiyaa,1
39,@indonesiagaruda sdh dcoba berulang2 malah pas bs pilih schedule poinnya gk diskon 70%...benar systemnya kah?,Nug_QA,1
40,"cardholders, jangan lupa yah kalau mau beli tiket untuk traveling, ingat qatar airways karena dengan #mandiricard sedang ada diskon 10% loh. yuk tunggu apalagi. https://t.co/mzv5fccxnz #mandiripromo https://t.co/ttl4ouao65",mandiricard,1
41,@kaesangp minta rekumem mas.. gmn bli spy dpet diskon..,untung_hr,0
42,"@benzbara_ @storialco kalau nggak salah, buat baca espresso, sy menghabiskan pulsa sekitar 50ribuan buat isi coin storial. diskon coin  sampe 50%. nggak terlalu berasa karena beli coinnya juga nyicil. jadi kantong tak sobek kok ",iladelfa,1
43,kamu bakalan dapat diskon 25% kalo beli tiket pake kartu btn https://t.co/tgrfuhaogr  #ecogreenpark,ecogreenpark,1
44,https://t.co/xvvp3ikdvy bekerja sama dengan korea tourism organization (kto) menggelar promosi diskon rp 1.000.000. https://t.co/i0gusxn61l,KompasTravel,1
45,#pragiwaksono amsterdam teramat menyenangkan. gue kembali dengan batik dari @batikplatform . jangan lupa belanja di website @batikplatform pake promo code pragiwaksono akan dapet diskon https://t.co/cmqyxulsdf,pandji,1
46,"kalau membandingkan dengan yaumul boleh, asal kamu salah mengenalku. seumuran itu harga dirinya gede. diskon anti katanya. dunia seluruhnya milik bersama, katanya.",rizky_alfian463,0
47,"hai millenials bogor, kami akan hadir di botani square mulai lusa s/d 11 november 2018. dapatkan harga tiket diskon spesial untuk kunjunganmu di libur akhir tahun  https://t.co/rk8be96tru #jungleland #duniaceria #junglelandteduh #2018goestojungleland https://t.co/87v91btq0s",JungleLand_Indo,1
48,halo adakah yg buka go prive shirt yg lg diskon 30% ini?? ongkirnya gila bgt w gk kuat kalo sendiri :(,sooisxing,1
49,"#sahabatkai, mulai 25 oktober 2018 pemesanan tiket via kai access, contact center 121 dan web https://t.co/sqedaro4oj, tidak dikenakan biaya pemesanan tiket dan diskon channel #ayonaikkereta https://t.co/odjtz4k0xk",KAI121,1
50,orang2 liat barang diskon 50% langsung diborong  aku liat barang diskon 50% ngitung dulu harganya jadi berapa setelah dipotong diskon eh tetep ngga kebeli,bayu_joo,0
51,@sendernim oh kirain lagi ada diskon,kkangdniel,0
52,diskon 30% lho... @ new taipei city https://t.co/gdcgvg3fvf,PrimadonnaINA,1
