,tweet,user
0,"Berbagai diskon dan program menarik menunggumu!  Yuk datang dan kunjungi Pameran IT terbesar di Indonesia : Indocomtech, 31 Oktober – 4 November 2018 di Jakarta Convention Center.  #Indocomtech #Indocomtech2018 #JCCSenayan #Jakarta #terpopuler https://t.co/hHay6dBmav",inilahdotcom
1,@_kimcungha @kmjcnnie @hhitomee @_wjsnkjy ntar ga dapet diskon???,ICT_Yerin96
2,"Pre-order sampai tanggal 15 November 2018 ... BERUMAH DI BUKU - Bandung Mawardi Harga normal: 50K Harga pre-order: 37,5k (diskon 25%) Tebal : 136 hlmn Jenis : esai ... Aku mulai memiliki… https://t.co/knD6l2TNkD",paperplanebooks
3,tuk ku lewati lorong sempit tuk ku hamtaro berlari apa yg paling dia senangi diskon besar matahari,wqwq_jkt48
4,@septienurm KARENA DISKON TAI.,ssstrngr
5,"Parfum khusus cowok lagi banyak diskon dan banyak pilihannya😍😍  . . .  Tinggal pilih yg sesuai selera kamu, wanginya enak-enak banget dan tahan lama💖💖  . . .  Pasti suka deh sama… https://t.co/pIw5fpwoUT",Iraniska
6,"ACE BOOM SALE 3 DAYS SPECIAL - DISKON hingga 50% + Ekstra Diskon 10%* khusus Member, berlaku tanggal 02-04 November 2018 | Lihat informasi selengkapnya disini https://t.co/eR26cuuDEx https://t.co/IYo6xa3Wjt",katalogpromosi
7,"Dibalik orang-orang yang happy karena diskon-diskon dan promo yang luar biasa dari e-commerce, percayalah banyak orang babak belur dibalik itu. Lol. Selamat menikmati guys, cek syopi lagi gila-gilaan banget hari ini",NidyaFebriani
8,diskon pembelian https://t.co/Qdg8cbFm5B,okproductionhou
9,Prediksi SYDNEY 3/11/18  Angka Hidup    :  6 Angka Main      : 12369 Angka 4D (BB) : 6936 Angka 3D (BB) : 936 Angka 2D (BB) : 36 / 96 / 62 / 13 Colok BEBAS 2D: 6 &amp; 3 Besar/ Kecil : KECIL Tebak SHIO : Babi Diskon Togel Terbesar Hanya di Entertogel https://t.co/ZcOr0mdGha https://t.co/THXLkO6Zy8,enter_togel
10,"Wowwww😲😲 promo hebat di Transmart Yasmin masih setia memberikan diskon besar besaran, apalagi beli banyak tambah hematttt, ayo lengkapi kebutuhan sehari hari dengan harga murah,🤫🤫🤫 jadiii???jangan lupa diborong ya periodenya hanya sampai 4 November 18 #transmartyasminbogor https://t.co/Bit21p25Ke",henryzulkarnain
11,"Mimpi udah akhir tahun,dan diskon dimana-mana. Kenapa sih ya padahal nggak akan beli jugaaaa🙂🙂🙂🙂🙂🙂🙂",wonderfullrain
